crate,test,error_type,error_text,error_subtext
lsmlite-rs,tests::lsm_rust_bindings_multiple_dbs_grpc_blobs,Undefined Behavior,"attempting a write access using <212913> at alloc74009[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::lsm_whole_rust_bindings_multiple_optimized_dbs,Undefined Behavior,"attempting a write access using <212920> at alloc74021[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::lsm_whole_rust_bindings_multiple_non_optimized_dbs,Undefined Behavior,"attempting a write access using <213166> at alloc74093[0x0], but that tag only grants SharedReadOnly permission for this location",NA
lsmlite-rs,tests::can_work_with_compressed_db_with_background_merger,Undefined Behavior,"attempting a write access using <234303> at alloc78040[0x0], but that tag only grants SharedReadOnly permission for this location",NA
p256k1,point::tests::base58,Undefined Behavior,"attempting a write access using <285342> at alloc189178[0x2], but that tag does not exist in the borrow stack for this location",NA
p256k1,point::tests::test_bip_340,Undefined Behavior,"attempting a write access using <287016> at alloc190948[0x2], but that tag does not exist in the borrow stack for this location",NA
littlefs2,main,Undefined Behavior,"attempting a write access using <95838> at alloc25664[0x70], but that tag does not exist in the borrow stack for this location",NA
cityhash,cityhash_1::tests::test_hash_64,Unsupported Operation,can't call foreign function `_Z12CityHash64_1PKcm` on OS `linux`,NA
clickhouse-rs,types::block::compressed::test::test_decompress,Unsupported Operation,can't call foreign function `CityHash128` on OS `linux`,NA
cudd,tests::test_exist_abstract,Unsupported Operation,can't call foreign function `Cudd_Init` on OS `linux`,NA
crymap,support::buffer::test::large_with_large_ops,Unsupported Operation,can't call foreign function `EVP_aes_128_ctr` on OS `linux`,NA
crymap,mime::fetch::bodystructure::test::parse_all_headers,Unsupported Operation,can't call foreign function `EVP_md5` on OS `linux`,NA
strawboat,io::test_basic,Unsupported Operation,can't call foreign function `LZ4_compressBound` on OS `linux`,NA
catboost2,tests::get_model_stats,Unsupported Operation,can't call foreign function `ModelCalcerCreate` on OS `linux`,NA
async-ssh2,knownhosts::smoke,Unsupported Operation,can't call foreign function `OPENSSL_init_ssl` on OS `linux`,NA
physfs-rs,tests::it_works,Unsupported Operation,can't call foreign function `PHYSFS_init` on OS `linux`,NA
pqcrypto-threebears,babybearephem::test::test_kem,Unsupported Operation,can't call foreign function `PQCLEAN_BABYBEAREPHEM_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-threebears,ffi::test_babybear_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_BABYBEAR_CLEAN_crypto_kem_keypair` on OS `linux`,NA
dilithium-raw,dilithium3::tests::test_deterministic_keygen,Unsupported Operation,can't call foreign function `PQCLEAN_DILITHIUM3_CLEAN_crypto_sign_keypair` on OS `linux`,NA
dilithium-raw,dilithium5::tests::test_deterministic_keygen,Unsupported Operation,can't call foreign function `PQCLEAN_DILITHIUM5_CLEAN_crypto_sign_keypair` on OS `linux`,NA
AmanitaMuscaria,falcon::falcon1024::falcon1024_signing,Unsupported Operation,can't call foreign function `PQCLEAN_FALCON1024_CLEAN_crypto_sign_keypair` on OS `linux`,NA
selenite,falcon512_general,Unsupported Operation,can't call foreign function `PQCLEAN_FALCON512_CLEAN_crypto_sign_keypair` on OS `linux`,NA
pqcrypto-saber,firesaber::test::test_kem,Unsupported Operation,can't call foreign function `PQCLEAN_FIRESABER_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-frodo,ffi::test_frodokem1344aes_opt::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_FRODOKEM1344AES_OPT_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-frodo,ffi::test_frodokem1344shake_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_FRODOKEM1344SHAKE_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-frodo,ffi::test_frodokem1344shake_opt::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_FRODOKEM1344SHAKE_OPT_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-frodo,ffi::test_frodokem640aes_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_FRODOKEM640AES_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-frodo,ffi::test_frodokem640shake_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_FRODOKEM640SHAKE_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-frodo,ffi::test_frodokem640shake_opt::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_FRODOKEM640SHAKE_OPT_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-frodo,ffi::test_frodokem976aes_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_FRODOKEM976AES_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-frodo,ffi::test_frodokem976aes_opt::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_FRODOKEM976AES_OPT_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-frodo,ffi::test_frodokem976shake_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_FRODOKEM976SHAKE_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-frodo,ffi::test_frodokem976shake_opt::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_FRODOKEM976SHAKE_OPT_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-hqc,hqcrmrs128::test::test_kem,Unsupported Operation,can't call foreign function `PQCLEAN_HQCRMRS128_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-hqc,ffi::test_hqcrmrs256_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_HQCRMRS256_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-kyber,kyber102490s::test::test_kem,Unsupported Operation,can't call foreign function `PQCLEAN_KYBER102490S_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-kyber,ffi::test_kyber1024_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_KYBER1024_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-kyber,ffi::test_kyber51290s_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_KYBER51290S_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-kyber,ffi::test_kyber512_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_KYBER512_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-kyber,ffi::test_kyber76890s_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_KYBER76890S_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-kyber,ffi::test_kyber768_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_KYBER768_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-saber,ffi::test_lightsaber_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_LIGHTSABER_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-threebears,ffi::test_mamabearephem_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MAMABEAREPHEM_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-threebears,ffi::test_mamabear_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MAMABEAR_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece348864f_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE348864F_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece348864f_vec::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE348864F_VEC_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece348864_vec::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE348864_VEC_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece460896f_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE460896F_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece460896f_vec::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE460896F_VEC_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece460896_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE460896_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece460896_vec::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE460896_VEC_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece6688128f_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE6688128F_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece6688128f_vec::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE6688128F_VEC_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece6688128_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE6688128_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece6688128_vec::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE6688128_VEC_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece6960119f_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE6960119F_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece6960119f_vec::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE6960119F_VEC_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece6960119_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE6960119_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece6960119_vec::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE6960119_VEC_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece8192128f_vec::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE8192128F_VEC_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece8192128_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE8192128_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-classicmceliece,ffi::test_mceliece8192128_vec::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_MCELIECE8192128_VEC_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-newhope,newhope1024cca::test::test_kem,Unsupported Operation,can't call foreign function `PQCLEAN_NEWHOPE1024CCA_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-newhope,ffi::test_newhope1024cpa_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_NEWHOPE1024CPA_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-newhope,ffi::test_newhope512cpa_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_NEWHOPE512CPA_CLEAN_crypto_kem_keypair` on OS `linux`,NA
ate-crypto,crypto::tests::test_multi_encrypt,Unsupported Operation,can't call foreign function `PQCLEAN_NTRUHPS2048509_CLEAN_crypto_kem_keypair` on OS `linux`,NA
ate,comms::test::test_server_client_for_comms_with_websocket,Unsupported Operation,can't call foreign function `PQCLEAN_NTRUHPS2048677_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntru,ffi::test_ntruhps40961229_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_NTRUHPS40961229_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntru,ffi::test_ntruhps4096821_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_NTRUHPS4096821_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntru,ffi::test_ntruhrss1373_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_NTRUHRSS1373_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntru,ffi::test_ntruhrss701_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_NTRUHRSS701_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntruprime,ntrulpr1013::test::test_kem,Unsupported Operation,can't call foreign function `PQCLEAN_NTRULPR1013_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntruprime,ffi::test_ntrulpr1277_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_NTRULPR1277_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntruprime,ffi::test_ntrulpr653_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_NTRULPR653_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntruprime,ffi::test_ntrulpr761_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_NTRULPR761_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntruprime,ffi::test_ntrulpr857_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_NTRULPR857_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntruprime,ffi::test_ntrulpr953_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_NTRULPR953_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-threebears,ffi::test_papabearephem_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_PAPABEAREPHEM_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-saber,ffi::test_saber_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_SABER_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntruprime,ffi::test_sntrup1013_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_SNTRUP1013_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntruprime,ffi::test_sntrup1277_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_SNTRUP1277_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntruprime,ffi::test_sntrup653_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_SNTRUP653_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntruprime,ffi::test_sntrup761_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_SNTRUP761_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntruprime,ffi::test_sntrup857_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_SNTRUP857_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-ntruprime,ffi::test_sntrup953_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_SNTRUP953_CLEAN_crypto_kem_keypair` on OS `linux`,NA
pqcrypto-sphincsplus,ffi::test_sphincsharaka128ssimple_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_SPHINCSHARAKA128SSIMPLE_CLEAN_crypto_sign_keypair` on OS `linux`,NA
pqcrypto-sphincsplus,sphincsharaka192ssimple::test::test_sign,Unsupported Operation,can't call foreign function `PQCLEAN_SPHINCSHARAKA192SSIMPLE_CLEAN_crypto_sign_keypair` on OS `linux`,NA
pqcrypto-sphincsplus,sphincsharaka256frobust::test::test_sign_detached,Unsupported Operation,can't call foreign function `PQCLEAN_SPHINCSHARAKA256FROBUST_CLEAN_crypto_sign_keypair` on OS `linux`,NA
pqcrypto-sphincsplus,ffi::test_sphincssha256256fsimple_clean::test_ffi,Unsupported Operation,can't call foreign function `PQCLEAN_SPHINCSSHA256256FSIMPLE_CLEAN_crypto_sign_keypair` on OS `linux`,NA
pqcrypto-sphincsplus,sphincsshake256256srobust::test::test_sign_detached,Unsupported Operation,can't call foreign function `PQCLEAN_SPHINCSSHAKE256256SROBUST_CLEAN_crypto_sign_keypair` on OS `linux`,NA
slvs,constraint::angle::tests::on_workplane,Unsupported Operation,can't call foreign function `Slvs_MakeQuaternion` on OS `linux`,NA
slvs,constraint::at_midpoint::tests::in_3d,Unsupported Operation,can't call foreign function `Slvs_Solve` on OS `linux`,NA
Brains,tests::test_initial,Unsupported Operation,can't call foreign function `TF_NewGraph` on OS `linux`,NA
actix-bililive,stream::tests::must_hb_tokio,Unsupported Operation,can't call foreign function `TLS_method` on OS `linux`,NA
genetic-algorithm-tsp,routes::tests::add_n_random_nodes,Unsupported Operation,can't call foreign function `XXH64_createState` on OS `linux`,NA
bloomfilter-rs,filter::tests::test_utilities::test_insertion_and_retrivial::does_not_contain_bytes,Unsupported Operation,can't call foreign function `XXH64` on OS `linux`,NA
approvals,method_name::tests::test_get_method_name_invalid_level,Unsupported Operation,can't call foreign function `_Unwind_Backtrace` on OS `linux`,NA
setjmp,tests::longjmp_return,Unsupported Operation,can't call foreign function `_setjmp` on OS `linux`,NA
lz4,test_readme,Unsupported Operation,can't call foreign function `access` on OS `linux`,NA
relearn,torch::initializers::tests::orthogonal_is_orthogonal,Unsupported Operation,can't call foreign function `at_grad_set_enabled` on OS `linux`,NA
border-tch-agent,util::named_tensors::test::test_named_tensors,Unsupported Operation,can't call foreign function `at_manual_seed` on OS `linux`,NA
relearn,spaces::boolean::parameterized_sample_space_tensor::sample_element_check_distribution,Unsupported Operation,can't call foreign function `at_tensor_of_data` on OS `linux`,NA
condor,modules::tests::sequential_tests::test_sequential,Unsupported Operation,can't call foreign function `atc_cuda_is_available` on OS `linux`,NA
relearn,torch::agents::actor_critic::tests::learns_deterministic_bandit_r2g::policy_module_1::_policy_alg_1::device_1,Unsupported Operation,can't call foreign function `atg_empty` on OS `linux`,NA
relearn,spaces::array::feature_space::batch_i2i3::tensor_batch_features_out_nonzero,Unsupported Operation,can't call foreign function `atg_ones` on OS `linux`,NA
relearn,spaces::array::feature_space::batch_i2i3::tensor_batch_features_out_zeroed,Unsupported Operation,can't call foreign function `atg_zeros` on OS `linux`,NA
relearn,torch::initializers::tests::constant,Unsupported Operation,can't call foreign function `ats_float` on OS `linux`,NA
relearn,spaces::index::repr_space_tensor::repr,Unsupported Operation,can't call foreign function `ats_int` on OS `linux`,NA
bitcoinconsensus,tests::invalid_flags_test,Unsupported Operation,can't call foreign function `bitcoinconsensus_verify_script_with_amount` on OS `linux`,NA
abao,decode::test::test_decode,Unsupported Operation,can't call foreign function `blake3_compress_in_place_sse2` on OS `linux`,NA
b3sum,test_hash_length_and_seek,Unsupported Operation,can't call foreign function `blake3_compress_xof_sse2` on OS `linux`,NA
dupe-krill,different_files_big,Unsupported Operation,can't call foreign function `blake3_hash_many_sse2` on OS `linux`,NA
scuttle,four_default,Unsupported Operation,can't call foreign function `ccadical_init` on OS `linux`,NA
dt-core,block_helpers::host::if_host_exact,Unsupported Operation,can't call foreign function `chmod` on OS `linux`,NA
scuttle,four_prepro,Unsupported Operation,can't call foreign function `cmaxpre_init_start` on OS `linux`,NA
actaeon,message::tests::test_message_decrypt,Unsupported Operation,can't call foreign function `crypto_box_curve25519xsalsa20poly1305_keypair` on OS `linux`,NA
rypt,util::tests::parse_hex_test,Unsupported Operation,can't call foreign function `crypto_hash_sha512` on OS `linux`,NA
actaeon,router::tests::test_element_find_deep,Unsupported Operation,can't call foreign function `crypto_scalarmult_base` on OS `linux`,NA
eznacl,sign::tests::sign_verify_test,Unsupported Operation,can't call foreign function `crypto_sign_ed25519_detached` on OS `linux`,NA
cpp_std,string_push,Unsupported Operation,can't call foreign function `ctr_cpp_std_ffi_std_basic_string_char_std_char_traits_char_std_allocator_char_basic_string` on OS `linux`,NA
cpp_std,vector_push_pop_slice,Unsupported Operation,can't call foreign function `ctr_cpp_std_ffi_std_vector_int32_t_std_allocator_int32_t_vector` on OS `linux`,NA
cpp_std,vector_from_slice,Unsupported Operation,can't call foreign function `ctr_cpp_std_ffi_std_vector_int64_t_std_allocator_int64_t_vector11` on OS `linux`,NA
cpp_std,vector_as_mut_slice,Unsupported Operation,can't call foreign function `ctr_cpp_std_ffi_std_vector_int_std_allocator_int_vector` on OS `linux`,NA
zarchive,reader::tests::extract_all,Unsupported Operation,can't call foreign function `cxxbridge1$OpenFromFile` on OS `linux`,NA
ndarray-vision,transform::tests::rotate,Unsupported Operation,can't call foreign function `dgetrf_` on OS `linux`,NA
alto,default_output,Unsupported Operation,can't call foreign function `dlopen` on OS `linux`,NA
csvs_convert,converters::tests::test_parquet_all_types_from_csvs,Unsupported Operation,can't call foreign function `duckdb_open_ext` on OS `linux`,NA
clickhouse-rs,pool::test::test_detach,Unsupported Operation,can't call foreign function `dup` on OS `linux`,NA
edlib_rs,edlibrs::tests::test_distance_hw_with_pair,Unsupported Operation,can't call foreign function `edlibDefaultAlignConfig` on OS `linux`,NA
mako,tokenization::hf_tokenizers::models::unigram::trainer::tests::test_unigram_chars,Unsupported Operation,can't call foreign function `esaxx_int32` on OS `linux`,NA
setmeup,config::tests::test_ansible_playbook_env_ok,Unsupported Operation,can't call foreign function `faccessat` on OS `linux`,NA
datafusion-physical-expr,intervals::cp_solver::tests::case_1_f32::seed_01_0::greater_op_1_Operator__Gt::less_op_2_Operator__LtEq,Unsupported Operation,can't call foreign function `fegetround` on OS `linux`,NA
below-store,cursor::tests::read_cbor,Unsupported Operation,can't call foreign function `flock` on OS `linux`,NA
alfred-workflow-rust-project,workflow_background::test_run_backgroud,Unsupported Operation,can't call foreign function `fork` on OS `linux`,NA
download_sdl2,download_test,Unsupported Operation,can't call foreign function `getaddrinfo` on OS `linux`,NA
youki,commands::spec_json::tests::test_spec_json,Unsupported Operation,can't call foreign function `geteuid` on OS `linux`,NA
dust_dds,allowed_to_delete_participant_after_delete_contained_entities,Unsupported Operation,can't call foreign function `getifaddrs` on OS `linux`,NA
uu_chown,test::test_parse_spec_nameless_ids,Unsupported Operation,can't call foreign function `getpwuid` on OS `linux`,NA
casper-node,utils::rlimit::tests::get_and_reset_ulimit,Unsupported Operation,can't call foreign function `getrlimit` on OS `linux`,NA
wg_netmanager,tests::test_create_device,Unsupported Operation,can't call foreign function `getuid` on OS `linux`,NA
localnative_ssb,test_publish,Unsupported Operation,can't call foreign function `gmtime_r` on OS `linux`,NA
alfred-workflow-rust-project,alfred::test_remove_config,Unsupported Operation,can't call foreign function `gnu_get_libc_version` on OS `linux`,NA
clarifai_grpc,test_get_model,Unsupported Operation,can't call foreign function `gpr_cpu_num_cores` on OS `linux`,NA
grpcio,buf::tests::test_grpc_slice,Unsupported Operation,can't call foreign function `grpc_empty_slice` on OS `linux`,NA
grpcio,buf::tests::test_typo_len_offset,Unsupported Operation,can't call foreign function `grpc_slice_new_with_len` on OS `linux`,NA
grpcio,metadata::tests::test_key_check,Unsupported Operation,can't call foreign function `grpcwrap_metadata_array_init` on OS `linux`,NA
hurl,runner::assert::tests::test_eval,Unsupported Operation,can't call foreign function `htmlReadMemory` on OS `linux`,NA
cheval,file_cache::test::file_cache_can_update_vector_clock_for_binary_file_in_watch_mode_with_block_on_initial_load_disabled,Unsupported Operation,can't call foreign function `inotify_init` on OS `linux`,NA
fclones,reflink::test::test_reflink_command_fails_with_files_too_large_using_ioctl_linux,Unsupported Operation,can't call foreign function `ioctl` on OS `linux`,NA
rust-locale,ctype::tests::is_blank,Unsupported Operation,can't call foreign function `isblank` on OS `linux`,NA
bitcoin-explorer,iterator_tests::test_coinbase_input,Unsupported Operation,can't call foreign function `leveldb_options_create` on OS `linux`,NA
lace_cc,state::builder::tests::built_state_should_update,Unsupported Operation,can't call foreign function `lgamma_r` on OS `linux`,NA
czkawka_core,duplicate::tests::test_make_hard_link,Unsupported Operation,can't call foreign function `linkat` on OS `linux`,NA
nydus-utils,reader::tests::test_file_range_reader,Unsupported Operation,can't call foreign function `llvm.x86.rdtsc` on OS `linux`,NA
csvs_convert,describe::tests::basic_multi,Unsupported Operation,can't call foreign function `llvm.x86.sse2.psad.bw` on OS `linux`,NA
parity-db,index::test::test_find_any_entry,Unsupported Operation,can't call foreign function `llvm.x86.sse2.psrl.q` on OS `linux`,NA
apecrunch,number::tests::test_number_simplify,Unsupported Operation,can't call foreign function `llvm.x86.subborrow.64` on OS `linux`,NA
costoflife,ledger::tests::test_datastore,Unsupported Operation,can't call foreign function `localtime_r` on OS `linux`,NA
minisat,tests::const_binary_eq,Unsupported Operation,can't call foreign function `minisat_new` on OS `linux`,NA
coverm,contig::tests::test_streaming_bam_file,Unsupported Operation,can't call foreign function `mkfifo` on OS `linux`,NA
fscmp,cmp::test::test_contents,Unsupported Operation,can't call foreign function `mknod` on OS `linux`,NA
bonsaidb-local,vault::tests::vault_permissions_test,Unsupported Operation,can't call foreign function `mlock` on OS `linux`,NA
libwfa,empty_wavefronts,Unsupported Operation,can't call foreign function `mm_allocator_new` on OS `linux`,NA
wasmtime-cache,config::tests::test_compression_level_settings,Unsupported Operation,can't call foreign function `nice` on OS `linux`,NA
errno-no-std,test::error_display,Unsupported Operation,can't call foreign function `nl_langinfo` on OS `linux`,NA
a2kit,catalog_cpm,Unsupported Operation,can't call foreign function `pipe2` on OS `linux`,NA
fmlrc,read_correction::tests::test_assemble,Unsupported Operation,can't call foreign function `pipe` on OS `linux`,NA
rattler_solve,libsolv_c::wrapper::pool::test::test_pool_callback,Unsupported Operation,can't call foreign function `pool_create` on OS `linux`,NA
bgzf_rust_reader,test_random_access,Unsupported Operation,can't call foreign function `pread` on OS `linux`,NA
qpdf,test_qpdf_version,Unsupported Operation,can't call foreign function `qpdf_get_qpdf_version` on OS `linux`,NA
qpdf,test_dictionary,Unsupported Operation,can't call foreign function `qpdf_init` on OS `linux`,NA
rattler_solve,libsolv_c::wrapper::queue::test::create_queue,Unsupported Operation,can't call foreign function `queue_init` on OS `linux`,NA
actaeon,message::tests::test_seed_parse,Unsupported Operation,can't call foreign function `randombytes_buf` on OS `linux`,NA
randomx-rs,bindings::tests::alloc_dataset,Unsupported Operation,can't call foreign function `randomx_alloc_cache` on OS `linux`,NA
randomx-rs,tests::lib_calculate_hash,Unsupported Operation,can't call foreign function `randomx_get_flags` on OS `linux`,NA
rust_transit_kafka,test_1_tenant_1_tenant,Unsupported Operation,can't call foreign function `rd_kafka_conf_new` on OS `linux`,NA
cita-database,rocksdb::tests::test_batch_op_with_category,Unsupported Operation,can't call foreign function `rocksdb_options_create` on OS `linux`,NA
rocksdb,iterator_test_tailing,Unsupported Operation,can't call foreign function `rocksdb_readoptions_create` on OS `linux`,NA
rocksdb,test_full_iterator,Unsupported Operation,can't call foreign function `rocksdb_slicetransform_create_fixed_prefix` on OS `linux`,NA
rocksdb,test_slice_transform,Unsupported Operation,can't call foreign function `rocksdb_slicetransform_create` on OS `linux`,NA
rocksdb,test_write_batch_clear,Unsupported Operation,can't call foreign function `rocksdb_writebatch_create` on OS `linux`,NA
aiken-lang,parser::definition::data_type::tests::custom_type,Unsupported Operation,can't call foreign function `rust_psm_stack_pointer` on OS `linux`,NA
elements-miniscript,descriptor::csfs_cov::tests::satisfy_and_interpret,Unsupported Operation,can't call foreign function `rustsecp256k1_v0_8_1_context_preallocated_size` on OS `linux`,NA
errno-no-std,test_localization::localized_messages,Unsupported Operation,can't call foreign function `setlocale` on OS `linux`,NA
jupiter,idb::tests::integration_test_for_sets,Unsupported Operation,can't call foreign function `sigaction` on OS `linux`,NA
