crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,error_text_stack,error_text_tree,error_root_stack,error_root_tree,action_stack,action_tree,kind_stack,kind_tree,subkind_stack,subkind_tree,actual_failure_stack,actual_failure_tree,exit_signal_no_stack,exit_signal_no_tree,num_duplicates
rustsat-kissat,0.1.1,test::limit,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fbbc48e9868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fcb0c565868[noalloc] is a dangling pointer (it has no provenance),"/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:28:11,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:43:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:59:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:39:7,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:260:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/internal.c:23:3,src/lib.rs:55:30: 55:48","/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:28:11,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:43:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:59:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:39:7,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:260:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/internal.c:23:3,src/lib.rs:55:30: 55:48",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
rustsat-kissat,0.1.1,test::tiny_instance_sat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fd662674868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f9a9de55868[noalloc] is a dangling pointer (it has no provenance),"/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:28:11,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:43:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:59:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:39:7,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:260:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/internal.c:23:3,src/lib.rs:55:30: 55:48","/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:28:11,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:43:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:59:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:39:7,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:260:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/internal.c:23:3,src/lib.rs:55:30: 55:48",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
rustsat-kissat,0.1.1,small_sat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fe204562868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f983163f868[noalloc] is a dangling pointer (it has no provenance),"/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:28:11,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:43:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:59:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:39:7,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:260:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/internal.c:23:3,/usr/src/ffickle/extracted/src/lib.rs:55:30: 55:48","/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:28:11,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:43:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:59:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:39:7,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:260:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/internal.c:23:3,/usr/src/ffickle/extracted/src/lib.rs:55:30: 55:48",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
rustsat-kissat,0.1.1,sat_small_unsat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fe2e71b6868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f02c84e1868[noalloc] is a dangling pointer (it has no provenance),"/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:28:11,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:43:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:59:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:39:7,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:260:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/internal.c:23:3,/usr/src/ffickle/extracted/src/lib.rs:55:30: 55:48","/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:28:11,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:43:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:59:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:39:7,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:260:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/internal.c:23:3,/usr/src/ffickle/extracted/src/lib.rs:55:30: 55:48",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
rustsat-kissat,0.1.1,small_unsat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7ff04f8c4868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fef82a59868[noalloc] is a dangling pointer (it has no provenance),"/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:28:11,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:43:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:59:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:39:7,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:260:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/internal.c:23:3,/usr/src/ffickle/extracted/src/lib.rs:55:30: 55:48","/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:28:11,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:43:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:59:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:39:7,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:260:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/internal.c:23:3,/usr/src/ffickle/extracted/src/lib.rs:55:30: 55:48",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
rustsat-kissat,0.1.1,unsat_small_unsat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7ff702a72868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f4945684868[noalloc] is a dangling pointer (it has no provenance),"/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:28:11,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:43:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:59:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:39:7,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:260:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/internal.c:23:3,/usr/src/ffickle/extracted/src/lib.rs:55:30: 55:48","/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:28:11,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:43:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/error.c:59:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:39:7,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/options.c:260:3,/usr/src/ffickle/extracted/target/debug/build/rustsat-kissat-8117237ddc5f3063/out/kissat/src/internal.c:23:3,/usr/src/ffickle/extracted/src/lib.rs:55:30: 55:48",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
smalloca,0.1.0,tests::inner_fucntion_call_test,0,1,1,Undefined Behavior,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","using uninitialized data, but this operation requires initialized memory",/usr/src/ffickle/rust/library/core/src/mem/mod.rs:916:22,/usr/src/ffickle/rust/library/core/src/mem/mod.rs:916:22,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,6
spdkit-nauty,0.1.1,nauty::test_nauty_labels,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fa02090a868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fc2d1da9868[noalloc] is a dangling pointer (it has no provenance),"/usr/src/ffickle/extracted/lib/nauty.c:393:49,/usr/src/ffickle/extracted/lib/naugraph.c:660:5,/usr/src/ffickle/extracted/wrapper.c:59:5,src/nauty.rs:88:21: 95:14","/usr/src/ffickle/extracted/lib/nauty.c:393:49,/usr/src/ffickle/extracted/lib/naugraph.c:660:5,/usr/src/ffickle/extracted/wrapper.c:59:5,src/nauty.rs:88:21: 95:14",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
spdkit-nauty,0.1.1,test_nauty,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fa2be987868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f5c9ece7868[noalloc] is a dangling pointer (it has no provenance),"/usr/src/ffickle/extracted/lib/nauty.c:393:49,/usr/src/ffickle/extracted/lib/naugraph.c:660:5,/usr/src/ffickle/extracted/wrapper.c:59:5,src/lib.rs:38:17: 45:10","/usr/src/ffickle/extracted/lib/nauty.c:393:49,/usr/src/ffickle/extracted/lib/naugraph.c:660:5,/usr/src/ffickle/extracted/wrapper.c:59:5,src/lib.rs:38:17: 45:10",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
twmap,0.10.0,editor_map_bin_eq,0,1,0,Undefined Behavior,Passed/Timeout,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libz-sys-1.1.12/src/zlib/deflate.c:1519:22,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libz-sys-1.1.12/src/zlib/deflate.c:1941:13,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libz-sys-1.1.12/src/zlib/deflate.c:1003:18,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/flate2-1.0.28/src/ffi/c.rs:316:27: 316:58",NA,read,NA,InvalidatedByUniqueRetag,NA,NA,NA,FALSE,FALSE,NA,NA,1
vapkey-cli,0.1.0,tests::info,0,1,0,Undefined Behavior,Passed/Timeout,"attempting a write access using <> at alloc[0x0], but that tag only grants SharedReadOnly permission for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tetsy-secp256k1-0.7.0/depend/secp256k1/src/secp256k1.c:277:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tetsy-secp256k1-0.7.0/src/key.rs:210:23: 212:69",NA,write,NA,Insufficient,NA,NA,NA,FALSE,FALSE,NA,NA,1
casper-execution-engine,5.0.0,storage::trie_store::tests::proptests::prop_lmdb_roundtrip_succeeds_leaf,0,1,0,Undefined Behavior,Passed/Timeout,"incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.11.2/lmdb/libraries/liblmdb/mdb.c:4280:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.11.2/lmdb/libraries/liblmdb/mdb.c:4739:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-sys-0.11.2/lmdb/libraries/liblmdb/mdb.c:4987:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-rkv-0.14.0/src/environment.rs:427:17: 427:79",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
libtz,0.1.1,tests::gmtime_test,0,1,1,LLI interoperation error,LLI interoperation error,"LLVM Type `{ i64, i1 }` is not supported for use in shims.","LLVM Type `{ i64, i1 }` is not supported for use in shims.","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libtz-sys-0.2.2/tz/localtime.c:1796:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libtz-sys-0.2.2/tz/localtime.c:1670:11,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libtz-sys-0.2.2/tz/localtime.c:1691:10,lib.rs:91:24: 91:69","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libtz-sys-0.2.2/tz/localtime.c:1796:6,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libtz-sys-0.2.2/tz/localtime.c:1670:11,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libtz-sys-0.2.2/tz/localtime.c:1691:10,lib.rs:91:24: 91:69",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
xs233,0.3.0,xsk233::tests::mul,0,1,1,LLI interoperation error,LLI interoperation error,"LLVM Type `{ i8, i64 }` is not supported for use in shims.","LLVM Type `{ i8, i64 }` is not supported for use in shims.","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/xs233-sys-0.2.0/c-xs233/xsk233.c:1043:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/xs233-sys-0.2.0/c-xs233/xsk233.c:1434:3,src/xsk233.rs:118:13: 123:14","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/xs233-sys-0.2.0/c-xs233/xsk233.c:1043:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/xs233-sys-0.2.0/c-xs233/xsk233.c:1434:3,src/xsk233.rs:118:13: 123:14",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
nostr-extensions,0.4.2,rate_limiter::tests::message,0,1,1,Undefined Behavior,Undefined Behavior,"incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3","incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-master-sys-0.1.0/lmdb/libraries/liblmdb/mdb.c:4830:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-master-sys-0.1.0/lmdb/libraries/liblmdb/mdb.c:5318:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-master-sys-0.1.0/lmdb/libraries/liblmdb/mdb.c:5633:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/nostr-kv-0.3.0/src/lmdb.rs:298:17: 298:69","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-master-sys-0.1.0/lmdb/libraries/liblmdb/mdb.c:4830:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-master-sys-0.1.0/lmdb/libraries/liblmdb/mdb.c:5318:7,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lmdb-master-sys-0.1.0/lmdb/libraries/liblmdb/mdb.c:5633:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/nostr-kv-0.3.0/src/lmdb.rs:298:17: 298:69",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
cpclib-asm,0.7.0,lzclose,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f058d6a1868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f6e2557e868[noalloc] is a dangling pointer (it has no provenance),"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/cpclib-crunchers-0.7.0/extra/zx0/optimize.c:130:20,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/cpclib-crunchers-0.7.0/extra/zx0/compress.c:173:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/cpclib-crunchers-0.7.0/src/zx0.rs:17:23: 17:62","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/cpclib-crunchers-0.7.0/extra/zx0/optimize.c:130:20,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/cpclib-crunchers-0.7.0/extra/zx0/compress.c:173:9,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/cpclib-crunchers-0.7.0/src/zx0.rs:17:23: 17:62",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
spdkit,0.1.0,fingerprint::test_molecule_fingerprint,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f1a5ce5e868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fef0cba3868[noalloc] is a dangling pointer (it has no provenance),"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/lib/nauty.c:393:49,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/lib/naugraph.c:660:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/wrapper.c:59:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/src/nauty.rs:88:21: 95:14","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/lib/nauty.c:393:49,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/lib/naugraph.c:660:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/wrapper.c:59:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/spdkit-nauty-0.1.1/src/nauty.rs:88:21: 95:14",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1
atms,0.1.0,multi_sig::tests::serde_pk,0,1,1,Undefined Behavior,Unsupported Operation,"attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",unsupported operation: can't call foreign function `add_mod_384` on OS `linux`,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/vect.h:231:16,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/e1.c:271:40,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/e1.c:294:10,src/multi_sig.rs:560:37: 560:86","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/fields.h:17:3,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/e1.c:245:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/e1.c:279:16,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/e1.c:337:16,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/e1.c:351:10,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/src/lib.rs:631:40: 631:74",read,NA,OutOfBounds,NA,NA,NA,FALSE,FALSE,NA,NA,1
